id,name,description,citation_uri,child_ids/0,child_ids/1,child_ids/2,child_ids/3,child_ids/4,child_ids/5,child_ids/6,child_ids/7,child_ids/8,restrictions/0,child_ids/9,child_ids/10,child_ids/11,child_ids/12,positive_examples/0,positive_examples/1,positive_examples/2,positive_examples/3,positive_examples/4,positive_examples/5,positive_examples/6,positive_examples/7,positive_examples/8,positive_examples/9,positive_examples/10,positive_examples/11,positive_examples/12,child_ids/13,child_ids/14,child_ids/15,child_ids/16,child_ids/17,child_ids/18,child_ids/19,child_ids/20,child_ids/21,child_ids/22,child_ids/23,child_ids/24,restrictions/1,child_ids/25,child_ids/26
/m/07qdb04,Quack,The harsh communication sound made by a duck.,http://wordnetweb.princeton.edu/perl/webwn?s=quack,,,,,,,,,,,,,,,youtu.be/rBod0icgIsE?start=28&end=38,youtu.be/k8O07-MW96Q?start=30&end=40,youtu.be/h2GONUHtAe0?start=29&end=39,youtu.be/OWFFBIDXwt0?start=30&end=40,youtu.be/7OSkKoylZmo?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,
/m/0dbvp,Goose,Sounds associated with this species of larger waterfowl.,http://en.wikipedia.org/wiki/Goose,/m/07qwf61,,,,,,,,,,,,,,youtu.be/WTKUjbur9_c?start=30&end=40,youtu.be/cU9AJygC17I?start=130&end=140,youtu.be/B1TLRcWkYEI?start=20&end=30,youtu.be/CLlaHYLiThk?start=30&end=40,youtu.be/ImKzYS6swjg?start=430&end=440,youtu.be/8UJKZE773Ro?start=110&end=120,youtu.be/s9sbPkAALxw?start=110&end=120,,,,,,,,,,,,,,,,,,,,,
/m/07qwf61,Honk,The cry of a goose.,http://wordnetweb.princeton.edu/perl/webwn?s=honk,,,,,,,,,,,,,,,youtu.be/Yvd3CNp4kT8?start=30&end=40,youtu.be/DnMzD1SMmsY?start=13&end=23,youtu.be/Cz1TdU8GjiA?start=30&end=40,youtu.be/4JTY-UtZLPg?start=30&end=40,youtu.be/VRJQZQcnv5s?start=30&end=40,youtu.be/o5dJd0ZXHrc?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,
/m/01280g,Wild animals,Sounds associated with animals not normally raised by humans.,http://en.wikipedia.org/wiki/Wildlife,/m/0cdnk,/m/015p6,/m/01z5f,/m/06hps,/m/03vt0,/m/09ld4,/m/078jl,/m/032n05,,,,,,,youtu.be/89IuqwavDU8?start=10&end=20,youtu.be/8R6H_3neiL8?start=20&end=30,youtu.be/kQ0eoHaF9X8?start=60&end=70,youtu.be/bSusH6RqC64?start=360&end=370,youtu.be/Ku1l5EnaZAQ?start=170&end=180,youtu.be/UKZrOQfUlIM?start=30&end=40,youtu.be/JZuwem3Y9Rc?start=250&end=260,youtu.be/hxnKQk51cMg?start=70&end=80,,,,,,,,,,,,,,,,,,,,
/m/0cdnk,"Roaring cats (lions, tigers)",Sounds associated with the larger and more ferocious wild relatives of cats.,http://en.wikipedia.org/wiki/Panthera,/m/04cvmfc,/m/0ghcn6,,,,,,,,,,,,,youtu.be/R7LrWG51wi4?start=190&end=200,youtu.be/rSu1Cr43S2s?start=10&end=20,youtu.be/ztymBfhfdPY?start=10&end=20,youtu.be/5e_s-Aaic4k?start=90&end=100,youtu.be/__-8wVOYH3c?start=70&end=80,youtu.be/pQBQBVcSjLk?start=290&end=300,youtu.be/OrKEBfUj95I?start=120&end=130,,,,,,,,,,,,,,,,,,,,,
/m/04cvmfc,Roar,"A deep, bellowing outburst of sound forced through an open mouth, made by a lion or other ""big cat"" species.",http://en.wikipedia.org/wiki/Roar_(utterance),,,,,,,,,,,,,,,youtu.be/V_K53wcR_hc?start=200&end=210,youtu.be/IFQGJ_jeTMQ?start=370&end=380,youtu.be/JbPNmYKs7P0?start=38&end=48,,,,,,,,,,,,,,,,,,,,,,,,,
/m/015p6,Bird,Sounds associated with the large group of flying vertebrates.,http://en.wikipedia.org/wiki/Bird,/m/020bb7,/m/0h0rv,/m/04s8yn,/m/09d5_,/m/01dwxx,/m/05_wcq,,,,,,,,,youtu.be/UPYKFMdmkBI?start=30&end=40,youtu.be/h3DVqb55DRQ?start=10&end=20,youtu.be/aBQ9m59MrWw?start=40&end=50,youtu.be/P1HP0zaWpW4?start=150&end=160,youtu.be/W1Wp4zzxtZc?start=10&end=20,youtu.be/U0YJy6vQA4c?start=20&end=30,youtu.be/orgwzt45ojE?start=30&end=40,youtu.be/9yPUjp9LLsE?start=310&end=320,youtu.be/hjicO_5mHF8?start=100&end=110,youtu.be/TSbkLVHTETY?start=30&end=40,,,,,,,,,,,,,,,,,,
/m/020bb7,"Bird vocalization, bird call, bird song","Bird communication calls, often considered melodious to the human ear.",http://en.wikipedia.org/wiki/Bird_vocalization,/m/07pggtn,/m/07sx8x_,,,,,,,,,,,,,youtu.be/ouPPVBBOODI?start=40&end=50,youtu.be/s2QGitj2jUc?start=170&end=180,youtu.be/wT52hDSLFTo?start=340&end=350,youtu.be/492jB4DXETM?start=240&end=250,youtu.be/uQB9xtJvgUk?start=30&end=40,youtu.be/LCFO6o812y0?start=350&end=360,youtu.be/OqoxikHu7eY?start=20&end=30,youtu.be/QtZ6qZdacwc?start=70&end=80,youtu.be/2bUbSeUd9n8?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/07pggtn,"Chirp, tweet",A brief sound as made by a small bird.,http://wordnetweb.princeton.edu/perl/webwn?s=chirp,,,,,,,,,,,,,,,youtu.be/TSGfF4opE18?start=120&end=130,youtu.be/DAmwRR8EWlc?start=380&end=390,youtu.be/YWipp1KTXa8?start=480&end=490,youtu.be/f6tGN34_izc?start=90&end=100,youtu.be/QS8t1QDrxfo?start=130&end=140,youtu.be/AbQBlpdjdu0?start=40&end=50,youtu.be/sqghcdp_C8I?start=110&end=120,youtu.be/Eh44C8ocwdM?start=550&end=560,youtu.be/_JkYH257o2c?start=40&end=50,,,,,,,,,,,,,,,,,,,
/m/07sx8x_,Squawk,"Abrasive, unpleasant sharp sound produced by a bird.",http://wordnetweb.princeton.edu/perl/webwn?s=squawk,,,,,,,,,,,,,,,youtu.be/RtxzI2FngL4?start=20&end=30,youtu.be/9EqiEH9fgwc?start=270&end=280,youtu.be/apb5dycPX-0?start=7&end=17,youtu.be/KaL17J_SMzo?start=400&end=410,youtu.be/pw6ZPTpn0bE?start=580&end=590,,,,,,,,,,,,,,,,,,,,,,,
/m/0h0rv,"Pigeon, dove","Sounds associated with these species of birds having short necks and short, slender bills.",http://en.wikipedia.org/wiki/Columbidae,/m/07r_25d,,,,,,,,,,,,,,youtu.be/CF_cw6igH9s?start=30&end=40,youtu.be/ngXDfqnWHEU?start=30&end=40,youtu.be/K2xIzdu-Ga0?start=30&end=40,youtu.be/LZEGjYrMM8o?start=30&end=40,youtu.be/F5LddF9IU80?start=30&end=40,youtu.be/mmPHyB4iAPA?start=280&end=290,youtu.be/gI7kgvkz1DI?start=30&end=40,youtu.be/jrdY2k4s37c?start=30&end=40,youtu.be/jDY9LdYDqhI?start=270&end=280,,,,,,,,,,,,,,,,,,,
/m/07r_25d,Coo,The sound made by a pigeon or dove.,http://wordnetweb.princeton.edu/perl/webwn?s=coo,,,,,,,,,,,,,,,youtu.be/AvwSHC92GlY?start=100&end=110,youtu.be/IHAteeW3JME?start=30&end=40,youtu.be/R5OI1ftOAPs?start=30&end=40,youtu.be/LcaLdDWhTb4?start=30&end=40,youtu.be/qhuSO2o3nN8?start=30&end=40,youtu.be/qizXoi1Re6s?start=30&end=40,youtu.be/TeLKSjNW35g?start=9&end=19,,,,,,,,,,,,,,,,,,,,,
/m/04s8yn,Crow,"Sounds associated with the species of medium-to-large birds, Corvus.",http://en.wikipedia.org/wiki/Corvus,/m/07r5c2p,,,,,,,,,,,,,,youtu.be/NJgk6yyMcIY?start=490&end=500,youtu.be/EdvEBEGRWkM?start=30&end=40,youtu.be/EdWgYZ4ffls?start=60&end=70,youtu.be/iDYQtYqbFMA?start=40&end=50,youtu.be/VHQjG81NcXE?start=30&end=40,youtu.be/g6hFofVOmVU?start=170&end=180,,,,,,,,,,,,,,,,,,,,,,
/m/07r5c2p,Caw,The relatively harsh sound made by corvine birds.,http://wordnetweb.princeton.edu/perl/webwn?s=caw,,,,,,,,,,,,,,,youtu.be/xpWvIgTbq80?start=30&end=40,youtu.be/VYiC9fRYZwM?start=10&end=20,youtu.be/F7TE4bTue80?start=7&end=17,youtu.be/gyW4t5ogLyE?start=30&end=40,youtu.be/zQjpa4I__Ag?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,
/m/09d5_,Owl,Sounds associated with the mostly solitary and nocturnal carnivorous birds from the order Strigiformes.,http://en.wikipedia.org/wiki/Owl,/m/07r_80w,,,,,,,,,,,,,,youtu.be/PJRrqdRbh0Q?start=40&end=50,youtu.be/LEJWmpErDRY?start=30&end=40,youtu.be/HQuy1_EDCkA?start=30&end=40,youtu.be/hVsaTVUOzxk?start=30&end=40,youtu.be/ZLXmK5dVGe0?start=30&end=40,youtu.be/yw-hqbvLLbc?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,
/m/07r_80w,Hoot,The loud raucous cry of an owl.,http://wordnetweb.princeton.edu/perl/webwn?s=hoot,,,,,,,,,,,,,,,youtu.be/m_39THY6PfY?start=30&end=40,youtu.be/Zhu5ogju62A?start=1&end=11,youtu.be/ILv7AQF-ltI?start=30&end=40,youtu.be/dOeLFbMH09A?start=25&end=35,,,,,,,,,,,,,,,,,,,,,,,,
/m/01dwxx,"Gull, seagull",Sounds associated with the family of seabirds often encountered in coastal regions.,http://en.wikipedia.org/wiki/Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/05_wcq,"Bird flight, flapping wings",Sounds caused by a bird's use of its wings to travel through the air.,http://en.wikipedia.org/wiki/Bird_flight,,,,,,,,,,,,,,,youtu.be/BUM9FcAvxJc?start=50&end=60,youtu.be/SwZxKE3CnEg?start=80&end=90,youtu.be/RBs0R_be7B0?start=50&end=60,youtu.be/v_IaZzdchY8?start=30&end=40,youtu.be/miNSZxKnDsM?start=180&end=190,,,,,,,,,,,,,,,,,,,,,,,
/m/01z5f,"Canidae, dogs, wolves",Sounds associated with the wild relatives of domesticated dogs.,http://en.wikipedia.org/wiki/Canidae,/m/07qf0zm,/m/0ghcn6,,,,,,,,,,,,,youtu.be/OFBbWkmHWok?start=40&end=50,youtu.be/IRcPJNZkCTc?start=40&end=50,youtu.be/L_1BdQxn5Is?start=30&end=40,youtu.be/0HMa_BIbTo0?start=60&end=70,youtu.be/ExcQZFswFks?start=60&end=70,youtu.be/HV346cLZxpA?start=30&end=40,youtu.be/zxEWn0uqw0A?start=30&end=40,youtu.be/CqKcyXt6laA?start=14&end=24,,,,,,,,,,,,,,,,,,,,
/m/06hps,"Rodents, rats, mice","Sounds associated with the small mammals of the order Rodentia, found in vast numbers on all continents except Antarctica.",http://en.wikipedia.org/wiki/Rodent,/m/04rmv,/m/02021,/m/07r4gkf,,,,,,,,,,,,youtu.be/BGEMgl1xjac?start=340&end=350,youtu.be/mrcePXm-R0Y?start=110&end=120,youtu.be/g3ITqDViDAk?start=210&end=220,youtu.be/U3zf6nQ6pUE?start=10&end=20,youtu.be/xtzjBhvhBmY?start=150&end=160,,,,,,,,,,,,,,,,,,,,,,,
/m/04rmv,Mouse,Sounds associated with the familiar small rodent.,http://en.wikipedia.org/wiki/Mouse,,,,,,,,,,,,,,,youtu.be/CtfoWY3GqM4?start=60&end=70,youtu.be/hvBFjdYnW4U?start=30&end=40,youtu.be/KU4WtmR753Y?start=20&end=30,,,,,,,,,,,,,,,,,,,,,,,,,
/m/02021,Chipmunk,"Sounds associated with the small, striped rodents of the family Sciuridae.",http://en.wikipedia.org/wiki/Chipmunk,,,,,,,,,,,,,,,youtu.be/36XjVkEAC_A?start=13&end=23,youtu.be/6-X5_NZA9Pw?start=2&end=12,youtu.be/kipCBDj28-U?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,,
/m/07r4gkf,Patter,"A quick succession of light rapid sounds, usually suggesting the locomotion of small animals.",http://wordnetweb.princeton.edu/perl/webwn?s=patter,,,,,,,,,,blacklist,,,,,youtu.be/l5CAOayPe4E?start=50&end=60,youtu.be/2ay8uwJNX1E?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/03vt0,Insect,"Sounds associated with invertebrates from the arthropod phylum that have a chitinous exoskeleton, a three-part body, three pairs of jointed legs, compound eyes, and one pair of antennae.",http://en.wikipedia.org/wiki/Insect,/m/09xqv,/m/09f96,/m/0h2mp,/m/01h3n,,,,,,,,,,,youtu.be/hIBwx8JqEJI?start=410&end=420,youtu.be/Df8ayuKMUUs?start=50&end=60,youtu.be/2VZeKEW4crE?start=50&end=60,youtu.be/T455LBU8lfU?start=230&end=240,youtu.be/CL7qusrB888?start=20&end=30,youtu.be/WVQz8LM_SNI?start=70&end=80,,,,,,,,,,,,,,,,,,,,,,
/m/09xqv,Cricket,"Sounds associated with these relatives of grasshoppers characterized by enlarged hind legs, providing power for jumping. Crickets are mainly nocturnal, and are best known for the loud, persistent, chirping song of males trying to attract females.",http://en.wikipedia.org/wiki/Cricket_(insect),,,,,,,,,,,,,,,youtu.be/B3aFxHuR7bY?start=30&end=40,youtu.be/LxUJwOOpJws?start=110&end=120,youtu.be/jypEvhhECH4?start=70&end=80,youtu.be/5JTshf6gISY?start=260&end=270,youtu.be/X0xdCeFkk08?start=450&end=460,,,,,,,,,,,,,,,,,,,,,,,
/m/09f96,Mosquito,"Sounds associated with these small, midge-like flies whose tube-like mouth parts pierce the hosts' skin to consume blood.",http://en.wikipedia.org/wiki/Mosquito,,,,,,,,,,,,,,,youtu.be/OIkpYphVHVI?start=30&end=40,youtu.be/crtrt0HbAtg?start=30&end=40,youtu.be/hq3e3aKFMjQ?start=30&end=40,youtu.be/ccmAp6PBdDI?start=30&end=40,youtu.be/p41gzO8pd4k?start=21&end=31,,,,,,,,,,,,,,,,,,,,,,,
/m/0h2mp,"Fly, housefly","Sounds associated with these insects of the order Diptera, which use only a single pair of wings to fly.",http://en.wikipedia.org/wiki/Fly,/m/07pjwq1,,,,,,,,,,,,,,youtu.be/OAuVRzogngc?start=340&end=350,youtu.be/6UOObVAQS_M?start=30&end=40,youtu.be/41G_oW9IQrk?start=20&end=30,youtu.be/kiMG-hDyOPk?start=120&end=130,youtu.be/U24BkLFGDtg?start=490&end=500,,,,,,,,,,,,,,,,,,,,,,,
/m/07pjwq1,Buzz,"The sound of rapid vibration, commonly the wings of a flying insect.",http://wordnetweb.princeton.edu/perl/webwn?s=buzz,,,,,,,,,,,,,,,youtu.be/hOqnxZQerhw?start=30&end=40,youtu.be/PEiKSjl0x0M?start=3&end=13,youtu.be/tHk9vA5xIPU?start=30&end=40,youtu.be/-BZuLO9Uvnw?start=30&end=40,youtu.be/A_n04sE1oyw?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,
/m/01h3n,"Bee, wasp, etc.","Sounds associated with these closely-related species of flying insects known for pollination, honey-production, and the ability to sting humans.",http://en.wikipedia.org/wiki/Bee,/m/07pjwq1,,,,,,,,,,,,,,youtu.be/GWmgGN3qwLk?start=280&end=290,youtu.be/rdwmkUJzLRQ?start=400&end=410,youtu.be/CqkChVlZ0Zc?start=480&end=490,youtu.be/uGS7O46tlSo?start=70&end=80,youtu.be/Uax2BiqOKEg?start=130&end=140,youtu.be/N2arYiB9j-g?start=100&end=110,,,,,,,,,,,,,,,,,,,,,,
/m/09ld4,Frog,"Sounds associated with the short-bodied, tailless amphibians composing the order Anura.",http://en.wikipedia.org/wiki/Frog,/m/07st88b,,,,,,,,,,,,,,youtu.be/duywiEdH7kU?start=9&end=19,youtu.be/-IHAaycWLLo?start=30&end=40,youtu.be/5NPWv-2F3eM?start=30&end=40,youtu.be/gff36H5kddQ?start=26&end=36,youtu.be/JIVTdjGj2eM?start=30&end=40,youtu.be/T_maPCFQreY?start=60&end=70,youtu.be/Li8cODFJBJk?start=60&end=70,,,,,,,,,,,,,,,,,,,,,
/m/07st88b,Croak,The harsh hoarse utterance of a frog.,http://wordnetweb.princeton.edu/perl/webwn?s=croak,,,,,,,,,,,,,,,youtu.be/_pFSFgPWnjE?start=30&end=40,youtu.be/Lc2gZT8Tloc?start=30&end=40,youtu.be/cX3Zrrld1Tk?start=9&end=19,youtu.be/QfkpNf93T-Y?start=30&end=40,youtu.be/_Av6uyAugVQ?start=30&end=40,youtu.be/BA8YrMd7KVk?start=320&end=330,youtu.be/_SNr4XpbqNQ?start=30&end=40,youtu.be/WCYs6hXENGc?start=11&end=21,,,,,,,,,,,,,,,,,,,,
/m/078jl,Snake,"Sounds associated with the elongated, legless, carnivorous reptiles of the suborder Serpentes.",http://en.wikipedia.org/wiki/Snake,/m/07rjwbb,/m/07qn4z3,,,,,,,,,,,,,youtu.be/6_TjTbIt-xo?start=30&end=40,youtu.be/rf1OS5Crog8?start=30&end=40,youtu.be/w3Bdu-s9Tpk?start=30&end=40,youtu.be/sn0_4kZwmCw?start=90&end=100,,,,,,,,,,,,,,,,,,,,,,,,
/m/07qn4z3,Rattle,A rapid series of short loud sounds as of small hard items loose inside a container.,http://wordnetweb.princeton.edu/perl/webwn?s=rattle,,,,,,,,,,,,,,,youtu.be/cmNsnLQSFjw?start=4&end=14,youtu.be/TSrlEhhOF5U?start=20&end=30,youtu.be/8lhdsS_xrvg?start=30&end=40,youtu.be/f5pPVPk_MY4?start=160&end=170,youtu.be/uCpEA5JND_c?start=80&end=90,,,,,,,,,,,,,,,,,,,,,,,
/m/032n05,Whale vocalization,Sounds produced by whales for different kinds of communication.,http://en.wikipedia.org/wiki/Whale_vocalization,,,,,,,,,,,,,,,youtu.be/SayTcZUipZI?start=250&end=260,youtu.be/H20tJk2cu-U?start=30&end=40,youtu.be/u4-VEvmu9kU?start=30&end=40,youtu.be/hx-UWi3VS8o?start=40&end=50,,,,,,,,,,,,,,,,,,,,,,,,
/m/04rlf,Music,"Music is an art form and cultural activity whose medium is sound and silence. The common elements of music are pitch, rhythm, dynamics, and the sonic qualities of timbre and texture.",http://en.wikipedia.org/wiki/Music,/m/04szw,/m/0kpv1t,/t/dd00027,/t/dd00028,/t/dd00030,,,,,,,,,,youtu.be/E83fRA1wxKU?start=420&end=430,youtu.be/uNve6Iyh5jA?start=170&end=180,youtu.be/xMsVXjoVvBY?start=570&end=580,youtu.be/MM1Fi3tOaKU?start=30&end=40,youtu.be/obPlMMjBfJo?start=30&end=40,youtu.be/3MTKFrRID6Y?start=30&end=40,youtu.be/jz0EDSpW79Q?start=570&end=580,youtu.be/-UVOFRthq_c?start=30&end=40,youtu.be/9QxbRgSE0I0?start=30&end=40,youtu.be/8P-psJ8v8ZA?start=30&end=40,,,,,,,,,,,,,,,,,,
/m/04szw,Musical instrument,"Sounds specifically associated with instruments created, adapted or otherwise used to make musical sounds.",http://en.wikipedia.org/wiki/Musical_instrument,/m/0fx80y,/m/05148p4,/m/0l14md,/m/05pd6,/m/01kcd,/m/0l14_3,/m/085jw,/m/03m5k,/m/0l14jd,,/m/0395lw,/m/03qjg,/m/0mkg,/m/0192l,youtu.be/7umb9yJpkKU?start=70&end=80,youtu.be/obWlyVlIbXI?start=40&end=50,youtu.be/5UMC51-0gtY?start=130&end=140,youtu.be/7RedoApAa5g?start=50&end=60,youtu.be/kkEwhEEe42E?start=50&end=60,youtu.be/2SebmDnbwu8?start=120&end=130,youtu.be/oqToPCSVKvE?start=30&end=40,youtu.be/74CdH7qHL9Q?start=30&end=40,youtu.be/QGL1xK5D8Fw?start=30&end=40,,,,,/m/02bxd,/m/0l14l2,/m/07kc_,/m/0l14t7,/m/05229,/m/01vj9c,/m/01hgjl,,,,,,,,
/m/0fx80y,Plucked string instrument,"Sounds of a musical instrument using tensioned strings to produce tones, where the usual mode of playing is to pull and release the strings to cause them to vibrate.",http://en.wikipedia.org/wiki/Plucked_string_instrument,/m/0342h,/m/018j2,/m/0jtg0,/m/04rzd,/m/01bns_,/m/07xzm,,,,,,,,,youtu.be/623y1sJMR3k?start=50&end=60,youtu.be/cW7XnBXFi6w?start=30&end=40,youtu.be/OFWD8T1wqHo?start=80&end=90,youtu.be/sYoJJnswtZc?start=180&end=190,youtu.be/e6yoR0fEmR0?start=30&end=40,youtu.be/BxOQq1ZNtCk?start=30&end=40,youtu.be/wBK_7cToiNU?start=50&end=60,youtu.be/h-UHIxkUhBM?start=90&end=100,,,,,,,,,,,,,,,,,,,,
/m/0342h,Guitar,"Sounds of a string instrument with between 4 and 18 strings (typically 6) running over a fretboard, typically played by strumming or plucking the strings with the right hand while fretting the strings with the fingers of the left hand.",http://en.wikipedia.org/wiki/Guitar,/m/02sgy,/m/018vs,/m/042v_gx,/m/06w87,/m/01glhc,/m/07s0s5r,,,,,,,,,youtu.be/4M8jrnFOsv4?start=250&end=260,youtu.be/3a7ZQYncZzo?start=30&end=40,youtu.be/03zEmRftWkE?start=30&end=40,youtu.be/0EZTOSkuFy0?start=30&end=40,youtu.be/WhcHkiTCg2Y?start=10&end=20,youtu.be/YophyPW6R2M?start=40&end=50,youtu.be/NtjgQir_GwM?start=390&end=400,,,,,,,,,,,,,,,,,,,,,
/m/02sgy,Electric guitar,"Sounds of a guitar that uses a pickup to convert the vibration of its strings (which are typically made of metal, and which occurs when a guitarist strums, plucks, or fingerpicks the strings) into electrical impulses, which are then amplified and converted to sound.",http://en.wikipedia.org/wiki/Electric_guitar,,,,,,,,,,,,,,,youtu.be/vsseT3Rm88s?start=250&end=260,youtu.be/GCz2JE4UUxs?start=120&end=130,youtu.be/rEpG-An1E_g?start=470&end=480,youtu.be/qOkBZPbv85k?start=410&end=420,youtu.be/q03HDM5GvMY?start=20&end=30,youtu.be/17Lx5LoeI3s?start=30&end=40,youtu.be/uUQyXlqMlVo?start=60&end=70,youtu.be/5_yzPAQHclw?start=30&end=40,,,,,,,,,,,,,,,,,,,,
/m/018vs,Bass guitar,Sounds of a relative of the electric guitar with a longer neck and 4 to 6 strings. The common 4-string bass is usually tuned one octave lower than the four lowest pitched strings of a guitar.,http://en.wikipedia.org/wiki/Bass_guitar,,,,,,,,,,,,,,,youtu.be/p4Wapz6rZWc?start=120&end=130,youtu.be/f1yunD_7XFI?start=50&end=60,youtu.be/3YtCNw7vY3A?start=10&end=20,youtu.be/08uDXandwEQ?start=60&end=70,youtu.be/9bQeCu-hYfE?start=40&end=50,youtu.be/8tV2X-AvdY8?start=50&end=60,youtu.be/XFQzDpqzkT4?start=80&end=90,,,,,,,,,,,,,,,,,,,,,
/m/042v_gx,Acoustic guitar,"Sounds of a guitar that produces sound acoustically by transmitting the vibration of the strings from its body to the air. Includes guitars with both nylon (or gut) strings, and those with steel strings.",http://en.wikipedia.org/wiki/Acoustic_guitar,,,,,,,,,,,,,,,youtu.be/0_MLIPfb84s?start=30&end=40,youtu.be/-37uZp3L3vw?start=30&end=40,youtu.be/zeAO1j2LStk?start=10&end=20,youtu.be/-SOoc9Rr39Y?start=12&end=22,youtu.be/-DPoX0GdToU?start=130&end=140,youtu.be/GDfQPFcG74k?start=150&end=160,youtu.be/4gZkMShMpmc?start=30&end=40,youtu.be/OSSa7XnAxkk?start=460&end=470,youtu.be/mPEQ9bBWUYE?start=210&end=220,youtu.be/ygonIq0Qatk?start=40&end=50,,,,,,,,,,,,,,,,,,
/m/06w87,"Steel guitar, slide guitar","Sounds of a guitar whose string length is controlled by a hard object placed on the string (the ""slide"" or ""steel"") instead of by pressing against the frets with the fingers.",http://en.wikipedia.org/wiki/Steel_guitar,,,,,,,,,,,,,,,youtu.be/0fcW2Nu_yk4?start=70&end=80,youtu.be/gGEMCZmcJo0?start=130&end=140,youtu.be/KvDjUWfxLvw?start=210&end=220,youtu.be/JY_l4taOZG4?start=180&end=190,youtu.be/Zne2aFaPEjE?start=180&end=190,,,,,,,,,,,,,,,,,,,,,,,
/m/01glhc,Tapping (guitar technique),"Sounds of a guitar playing technique, where a string is fretted and set into vibration as part of a single motion of being pushed onto the fretboard, as opposed to the standard technique being fretted with one hand and picked with the other.",http://en.wikipedia.org/wiki/Tapping,,,,,,,,,,,,,,,youtu.be/hrOa0R7Lfvg?start=10&end=20,youtu.be/ML3A4Z1UrG4?start=60&end=70,youtu.be/sAD_dtC_6cM?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,,
/m/07s0s5r,Strum,The sound of playing a guitar by dragging a finger or plectrum over multiple strings near-simultaneously.,http://wordnetweb.princeton.edu/perl/webwn?s=strum,,,,,,,,,,,,,,,youtu.be/J8Fp-ol3oWk?start=30&end=40,youtu.be/-_WO2kys2tU?start=30&end=40,youtu.be/14jEF7Bhx0Q?start=30&end=40,youtu.be/-eUHclSdrz4?start=30&end=40,youtu.be/2a-u6r7pPgU?start=30&end=40,youtu.be/-rDW578Jqpw?start=30&end=40,youtu.be/yfsV_LY2rS4?start=470&end=480,youtu.be/tj375STXuek?start=90&end=100,,,,,,,,,,,,,,,,,,,,
/m/018j2,Banjo,"Sounds of a 4-, 5-, or 6-stringed instrument with a thin membrane stretched over a frame or cavity as a resonator, called the head.",http://en.wikipedia.org/wiki/Banjo,,,,,,,,,,,,,,,youtu.be/l_7B1wnTNtA?start=20&end=30,youtu.be/R-coz17NCsE?start=250&end=260,youtu.be/miFBEtS8iaw?start=70&end=80,youtu.be/M2w7M0xhCok?start=30&end=40,youtu.be/zm0qNj8QaLA?start=160&end=170,youtu.be/3kaCL9Zu7NY?start=170&end=180,youtu.be/1COTNE5iwpw?start=70&end=80,,,,,,,,,,,,,,,,,,,,,
/m/0jtg0,Sitar,"Sounds of a plucked stringed instrument used mainly in Hindustani and Indian classical music, which derives its distinctive timbre and resonance from sympathetic strings, bridge design, a long hollow neck, and a gourd-shaped resonance chamber.",http://en.wikipedia.org/wiki/Sitar,,,,,,,,,,,,,,,youtu.be/UB5Lh65DhGI?start=240&end=250,youtu.be/NvAlKJXWuz0?start=220&end=230,youtu.be/JLyg8PK6VzY?start=150&end=160,youtu.be/9SvlmFWEsJE?start=530&end=540,youtu.be/XLv-1DYujvo?start=470&end=480,youtu.be/eVmuNiSlM08?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,
/m/04rzd,Mandolin,"Sounds of an instrument in the lute family, commonly with 4 courses of doubled metal strings, usually plucked with a plectrum or ""pick"".",http://en.wikipedia.org/wiki/Mandolin,,,,,,,,,,,,,,,youtu.be/EiL4B7P8w5E?start=160&end=170,youtu.be/UfCnuSlcb8c?start=230&end=240,youtu.be/V2TOF7oO5iw?start=30&end=40,youtu.be/6hBBOM8wkzY?start=30&end=40,youtu.be/7vugt_BNbK0?start=230&end=240,,,,,,,,,,,,,,,,,,,,,,,
/m/01bns_,Zither,"Sounds of a class of stringed instruments consisting of many strings stretched across a thin, flat body, played by strumming or plucking.",http://en.wikipedia.org/wiki/Zither,,,,,,,,,,,,,,,youtu.be/dvmutEzAcjA?start=140&end=150,youtu.be/-VtQ1KQPAzU?start=30&end=40,youtu.be/-Mtj9kQgkk4?start=30&end=40,youtu.be/03Am-YeLdK8?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,
/m/07xzm,Ukulele,Sounds of a small four-stringed guitar-like instument that originated in Hawaii.,http://en.wikipedia.org/wiki/Ukulele,,,,,,,,,,,,,,,youtu.be/Szh-0r2nefs?start=30&end=40,youtu.be/c6AjhdkSNWI?start=30&end=40,youtu.be/lawaVpYj3t4?start=210&end=220,youtu.be/UNJX3yYxJjE?start=30&end=40,youtu.be/aVjQk_ZTOQU?start=230&end=240,youtu.be/fxDPFgl_uhU?start=30&end=40,youtu.be/7LhnENv-9vw?start=30&end=40,,,,,,,,,,,,,,,,,,,,,
